Name,City,Salary_From,Salary_To,Currency,Experience,Employment_Type,Role
архитектор-генпланист начинающий,астана,100000.0,,KZT,нет опыта,полная занятость,архитектор
2d-художник,астана,60000.0,100000.0,RUR,от 1 года до 3 лет,полная занятость,"дизайнер, художник"
воспитатель в мини-центр развития,астана,300000.0,,KZT,от 1 года до 3 лет,полная занятость,"воспитатель, няня"
smm-менеджер,астана,250000.0,450000.0,KZT,от 1 года до 3 лет,полная занятость,"smm-менеджер, контент-менеджер"
digital-маркетолог (smm + таргет),астана,250000.0,400000.0,KZT,от 1 года до 3 лет,полная занятость,"smm-менеджер, контент-менеджер"
специалист технической поддержки,астана,250000.0,300000.0,KZT,от 1 года до 3 лет,полная занятость,специалист технической поддержки
контент-маркетолог,астана,500000.0,,KZT,от 1 года до 3 лет,частичная занятость,"менеджер по маркетингу, интернет-маркетолог"
су-шеф в грузинский ресторан,астана,22000.0,22000.0,KZT,от 1 года до 3 лет,полная занятость,"повар, пекарь, кондитер"
lead business / system analyst,астана,1000000.0,,KZT,более 6 лет,полная занятость,бизнес-аналитик
стажер / junior business development manager (bizdev / lead gen),астана,400.0,1200.0,USD,нет опыта,полная занятость,другое
менеджер по продажам (домашний текстиль),астана,200000.0,500000.0,KZT,от 1 года до 3 лет,полная занятость,"менеджер по продажам, менеджер по работе с клиентами"
ai engineer,астана,,1000000.0,KZT,от 1 года до 3 лет,полная занятость,"программист, разработчик"
посыльный,астана,,270000.0,KZT,нет опыта,полная занятость,другое
главный бухгалтер в единственном лице,астана,1600000.0,,KZT,более 6 лет,полная занятость,бухгалтер
бизнес-ассистент руководителя,астана,400000.0,500000.0,KZT,от 3 до 6 лет,полная занятость,"секретарь, помощник руководителя, ассистент"
hr менеджер по персоналу,астана,500000.0,500000.0,KZT,от 3 до 6 лет,полная занятость,менеджер по персоналу
юрисконсульт,астана,500000.0,1000000.0,KZT,от 3 до 6 лет,полная занятость,юрисконсульт
аналитик-маркетолог,астана,300000.0,500000.0,KZT,от 1 года до 3 лет,полная занятость,"менеджер по маркетингу, интернет-маркетолог"
юрист,астана,350000.0,500000.0,KZT,от 3 до 6 лет,полная занятость,юрисконсульт
менеджер-дизайнер в полиграфию,астана,150000.0,500000.0,KZT,нет опыта,полная занятость,"дизайнер, художник"
бренд-менеджер,астана,450000.0,,KZT,от 3 до 6 лет,полная занятость,pr-менеджер
менеджер по продажам,астана,400000.0,,KZT,от 1 года до 3 лет,полная занятость,"менеджер по продажам, менеджер по работе с клиентами"
маркетолог,астана,500000.0,1000000.0,KZT,от 3 до 6 лет,полная занятость,"менеджер по маркетингу, интернет-маркетолог"
smm менеджер,астана,250000.0,,KZT,от 1 года до 3 лет,полная занятость,"smm-менеджер, контент-менеджер"
коммерческий директор (cco),астана,2000000.0,,KZT,от 3 до 6 лет,полная занятость,коммерческий директор (cco)
архитектор-дизайнер,астана,250000.0,500000.0,KZT,от 1 года до 3 лет,полная занятость,архитектор
smm-мобилограф,астана,350000.0,400000.0,KZT,от 1 года до 3 лет,частичная занятость,"smm-менеджер, контент-менеджер"
бизнес-аналитик,астана,500000.0,800000.0,KZT,от 3 до 6 лет,полная занятость,бизнес-аналитик
руководитель отдела маркетинга и рекламы,астана,500000.0,,KZT,от 3 до 6 лет,полная занятость,руководитель отдела маркетинга и рекламы
php backend developer (laravel),астана,550000.0,900000.0,KZT,от 3 до 6 лет,полная занятость,"программист, разработчик"
стажер-программист 1с,астана,100000.0,,KZT,нет опыта,полная занятость,"программист, разработчик"
графический дизайнер,астана,250000.0,400000.0,KZT,от 1 года до 3 лет,полная занятость,"дизайнер, художник"
junior/middle designer,астана,,400000.0,KZT,от 1 года до 3 лет,полная занятость,"дизайнер, художник"
региональный представитель,астана,,3000000.0,KZT,от 3 до 6 лет,полная занятость,"менеджер по продажам, менеджер по работе с клиентами"
инженер-проектировщик,астана,1000000.0,,KZT,от 3 до 6 лет,полная занятость,"инженер-конструктор, инженер-проектировщик"
старший су шеф,астана,25000.0,25000.0,KZT,от 3 до 6 лет,полная занятость,"повар, пекарь, кондитер"
ml-инженер,астана,1200000.0,3500000.0,KZT,от 3 до 6 лет,полная занятость,другое
frontend developer (middle / middle+),астана,650000.0,,KZT,от 3 до 6 лет,полная занятость,"программист, разработчик"
офис-менеджер (кадровое делопроизводство),астана,350000.0,400000.0,KZT,от 3 до 6 лет,полная занятость,офис-менеджер
юрист,астана,500000.0,1000000.0,KZT,от 3 до 6 лет,полная занятость,юрист
помощник инженера-конструктора,астана,150000.0,,KZT,от 1 года до 3 лет,полная занятость,"инженер-конструктор, инженер-проектировщик"
менеджер в полиграфию,астана,150000.0,300000.0,KZT,нет опыта,полная занятость,"менеджер по продажам, менеджер по работе с клиентами"
менеджер по закупкам (тендерные проекты),астана,,500000.0,KZT,от 1 года до 3 лет,полная занятость,специалист по тендерам
smm-менеджер,астана,400000.0,1000000.0,KZT,от 1 года до 3 лет,полная занятость,"smm-менеджер, контент-менеджер"
player support specialist,астана,600.0,700.0,USD,от 1 года до 3 лет,полная занятость,специалист технической поддержки
менеджер по подбору персонала,астана,300000.0,,KZT,от 1 года до 3 лет,полная занятость,специалист по подбору персонала
тренер по футболу,астана,280000.0,700000.0,KZT,от 3 до 6 лет,частичная занятость,другое
логист в международную компанию (молодежная практика),астана,100000.0,250000.0,KZT,нет опыта,полная занятость,"менеджер по логистике, менеджер по вэд"
igaming affiliate managaer,астана,2000.0,15000.0,USD,от 3 до 6 лет,полная занятость,"менеджер по маркетингу, интернет-маркетолог"
заведующий производством молочной продукции,астана,500000.0,,KZT,более 6 лет,полная занятость,начальник производства
бренд шеф кондитер,астана,1000000.0,,KZT,от 3 до 6 лет,полная занятость,"повар, пекарь, кондитер"
creative designer,астана,,500000.0,KZT,от 1 года до 3 лет,полная занятость,"дизайнер, художник"
smm-менеджер,астана,400000.0,,KZT,от 3 до 6 лет,полная занятость,"smm-менеджер, контент-менеджер"
шеф-повар,астана,500000.0,650000.0,KZT,от 3 до 6 лет,полная занятость,"повар, пекарь, кондитер"
бухгалтер в сфере строительства,астана,350000.0,,KZT,более 6 лет,полная занятость,бухгалтер
маркетолог,астана,600000.0,1000000.0,KZT,от 1 года до 3 лет,полная занятость,"менеджер по маркетингу, интернет-маркетолог"
специалист организационного отдела,астана,,300000.0,KZT,нет опыта,полная занятость,офис-менеджер
управляющий рестораном сыроварня by arkady novikov,астана,1000000.0,,KZT,более 6 лет,полная занятость,менеджер ресторана
системный аналитик,астана,,540000.0,KZT,от 1 года до 3 лет,полная занятость,системный аналитик
менеджер по продажам,астана,500000.0,3500000.0,KZT,нет опыта,полная занятость,"менеджер по продажам, менеджер по работе с клиентами"
менеджер по работе с клиентами (онлайн) казахстан,астана,400000.0,750000.0,KZT,нет опыта,полная занятость,"менеджер по продажам, менеджер по работе с клиентами"
юрист (универсал),астана,,600000.0,KZT,от 3 до 6 лет,полная занятость,юрист
архитектор в области пожарной безопасности,астана,200000.0,300000.0,KZT,нет опыта,полная занятость,архитектор
архитектор-проектировщик,астана,200000.0,400000.0,KZT,от 1 года до 3 лет,полная занятость,архитектор
маркетолог в образовательный центр,астана,300000.0,700000.0,KZT,от 1 года до 3 лет,полная занятость,"менеджер по маркетингу, интернет-маркетолог"
специалист по информационной безопасности,астана,300000.0,,KZT,от 1 года до 3 лет,полная занятость,специалист по информационной безопасности
геолог,астана,,1300000.0,KZT,более 6 лет,полная занятость,геолог
юрист в edtech,астана,500000.0,,KZT,от 3 до 6 лет,полная занятость,юрист
преподаватель английского языка,астана,200000.0,400000.0,KZT,от 1 года до 3 лет,полная занятость,"учитель, преподаватель, педагог"
инженер по охране труда и технике безопасности,астана,350000.0,400000.0,KZT,от 1 года до 3 лет,полная занятость,"инженер по охране труда и технике безопасности, инженер-эколог"
инженер сметчик,астана,350000.0,700000.0,KZT,от 1 года до 3 лет,полная занятость,"инженер пто, инженер-сметчик"
руководитель отдела продаж и маркетинга,астана,900000.0,,KZT,более 6 лет,полная занятость,руководитель отдела маркетинга и рекламы
управляющий директор в клининговую компанию,астана,350000.0,400000.0,KZT,от 3 до 6 лет,полная занятость,другое
креативный копирайтер,астана,400000.0,,KZT,от 1 года до 3 лет,полная занятость,продюсер
джуниор - менеджер в отдел продаж,астана,150000.0,300000.0,KZT,нет опыта,полная занятость,"менеджер по продажам, менеджер по работе с клиентами"
дизайнер интерьеров,астана,,550000.0,KZT,от 3 до 6 лет,полная занятость,"дизайнер, художник"
